,Contrato,Usuario Libre,Suministrador,Fecha de Suscripción,Fecha de Finalización,Precio Base,Precio FP,Rango de duración,Potencia_HP,Potencia_HFP,BRG,Precio de Potencia,Consistencia,Link,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,1.0,AGROPECUARIA RIO BRAVO HNOS S.A.C.,Atria Energía,2024-05-01 00:00:00,2026-04-30 00:00:00,56.631578947368425,56.631578947368425,1.9972602739726026,0.205,0.205,,,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20104508023_20240404_7954_00.pdf,,,,
1,2.0,COSTEÑO ALIMENTOS S.A.C.,Electronoroeste,2024-02-01 00:00:00,2026-12-30 00:00:00,32.5,32.5,2.9123287671232876,0.7,1.125,,,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ELNO_20536727524_20240403_7956_00.pdf,,,,
2,3.0,ARA EXPORT S.A.C.,Hidrandina,2023-09-01 00:00:00,2026-12-31 00:00:00,33.5,33.5,3.334246575342466,0.5,0.64,,,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ELNM_20551771556_20240403_7955_00.pdf,,,,
3,4.0,CONDOMINIO LA QUEBRADA CIENEGUILLA -CALLE EL RETIRO A LA ALTURA DEL KM 23.5 DE LA AV.NUEVA TOLEDO,La Virgen,2024-02-01 00:00:00,2027-01-31 00:00:00,53.5,53.5,3.0,0.54,0.54,Planicie 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/VIRG_20601811074_20240403_7962_00.pdf,,,,
4,5.0,SHOUGANG HIERRO PERU S.A.A.,Shougesa,2024-04-01 00:00:00,2024-04-30 00:00:00,NHI,NHI,0.07945205479452055,60,60,NHI,NHI,4,https://prie.osinergmin.gob.pe/documents/12840/2566825/SHOU_20100142989_20240401_7963_00.pdf,,,,
5,6.0,FARMACOLOGICOS VETERINARIOS S.A.C.,Atria Energía,2024-04-01 00:00:00,2026-03-31 00:00:00,55.60526315789473,55.60526315789473,1.9972602739726026,0.205,0.205,Independencia 220 kV,6.571052631578947,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20106026883_20240401_7957_00.pdf,,,,
6,7.0,PLASTICOS REUNIDOS S A,Fénix Power,2024-03-30 00:00:00,2027-03-31 00:00:00,51.3,51.3,3.0027397260273974,0.6,0.6,Chavarría 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/FPOW_20100670811_20240327_7952_00.pdf,,,,
7,8.0,IMPORTACIONES HIRAOKA S.A.C.,Enel Generación Perú,2026-01-01 00:00:00,2028-12-31 00:00:00,45,45,3.0,0.63,1.185,Chavarría 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20100016681_20240327_7953_00.pdf,,,,
8,9.0,MOTORES DIESEL ANDINOS S.A.,Kallpa,2024-03-01 00:00:00,2027-02-28 00:00:00,50,50,2.9972602739726026,1.65,1.65,San Juan 220 kV,6.4,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20417926632_20240327_7944_00.pdf,,,,
9,10.0,PILADORA LA MERCED S.R.L,Atria Energía,2024-04-01 00:00:00,2028-12-31 00:00:00,56.18421052631579,56.18421052631579,4.7534246575342465,0.21,0.21,Chiclayo 220,6.781578947368422,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20438252089_20240327_7951_00.pdf,,,,
